Date,Actual,Predicted,High,Low,Prev_High,Prev_Low,Prev_Actual,Pred_High,Pred_Low
2025-03-18,10.872752167284489,10.423042777267916,10.973614577778594,10.624304534720968,10.833795199844314,10.579241774604329,10.71328297816217,10.379065,9.964801
2025-03-19,10.895333655178549,10.490500342837365,11.018522793372842,10.686590971194176,10.973614577778594,10.624304534720968,10.872752167284489,10.451092,10.035993
2025-03-20,10.81096487492323,10.560874186952688,11.064458711472604,10.687342101621285,11.018522793372842,10.686590971194176,10.895333655178549,10.500677,10.083118
2025-03-21,10.60581850260496,10.682005306615563,10.808870904924737,10.422636227113518,11.064458711472604,10.687342101621285,10.81096487492323,10.534737,10.11206
2025-03-24,10.63208443671465,10.643494112990773,10.800713147674829,10.499339335215067,10.808870904924737,10.422636227113518,10.60581850260496,10.382705,9.963407
2025-03-25,10.723940722644327,10.668643646070196,10.843856272143936,10.602421365911946,10.800713147674829,10.499339335215067,10.63208443671465,10.416017,9.995979
2025-03-26,10.629034377634524,10.629862186044766,10.89859211181768,10.488501535068954,10.843856272143936,10.602421365911946,10.723940722644327,10.452363,10.033296
2025-03-27,10.602553181350231,10.614723182744523,10.752823091287036,10.413834636375364,10.89859211181768,10.488501535068954,10.629034377634524,10.409133,9.9888935
2025-03-28,10.487113319337368,10.56529147862871,10.682429872351634,10.350342741915222,10.752823091287036,10.413834636375364,10.602553181350231,10.347923,9.931238
2025-03-31,10.113950511440637,10.544103381540602,10.375767049728193,9.900090019419736,10.682429872351634,10.350342741915222,10.487113319337368,10.296954,9.881932
2025-04-01,10.286234414204957,10.480459015135787,10.351986588234936,10.03783602741943,10.375767049728193,9.900090019419736,10.113950511440637,10.038391,9.633506
2025-04-02,10.228345919400454,10.879666774666148,10.416020557628515,10.105213378613795,10.351986588234936,10.03783602741943,10.286234414204957,10.215461,9.792638
2025-04-03,10.157208252698185,10.70069016951464,10.401845916305687,9.918645658702934,10.416020557628515,10.105213378613795,10.228345919400454,10.187485,9.771595
2025-04-04,7.537557885050774,10.532529181250418,8.223471556162586,7.266080600254142,10.401845916305687,9.918645658702934,10.157208252698185,10.068995,9.661836
2025-04-07,9.886167127639055,9.884640853507252,10.60325474816435,9.191276059553765,8.223471556162586,7.266080600254142,7.537557885050774,8.411942,8.071164
2025-04-08,9.820286307483912,10.340363549638925,10.500177290148333,9.247474578794002,10.60325474816435,9.191276059553765,9.886167127639055,9.796504,9.393856
2025-04-09,10.3666868545115,10.07290724926657,10.560783342669328,9.552240256108956,10.500177290148333,9.247474578794002,9.820286307483912,9.706005,9.313755
2025-04-10,10.31960742548108,9.922653151475238,10.567450237206376,10.061419566524414,10.560783342669328,9.552240256108956,10.3666868545115,9.823715,9.4349575
2025-04-11,10.24505322240293,10.165201449861618,10.518582175393654,9.929379285453322,10.567450237206376,10.061419566524414,10.31960742548108,10.051877,9.650829
2025-04-14,10.903575621545317,10.377505822231152,11.180632131473049,10.436060237974942,10.518582175393654,9.929379285453322,10.24505322240293,10.058457,9.655695
2025-04-15,10.75886844843626,10.623322308605337,11.49259296271191,10.50314895840512,11.180632131473049,10.436060237974942,10.903575621545317,10.465588,10.047107
2025-04-16,11.071294508874416,10.751534651393126,11.463581562791353,10.705020556847543,11.49259296271191,10.50314895840512,10.75886844843626,10.552821,10.1214695
2025-04-17,11.012149047106504,10.929418349194506,11.36906180271538,10.677537627864668,11.463581562791353,10.705020556847543,11.071294508874416,10.700598,10.271547
2025-04-18,16.828530311584473,11.098797072393292,17.02283843987,16.63917496916645,11.36906180271538,10.677537627864668,11.012149047106504,10.725603,10.292279
2025-04-21,14.21508846282959,12.730480854996252,14.941739646027523,13.892229703628942,17.02283843987,16.63917496916645,16.828530311584473,13.158168,12.62214
2025-04-22,10.38402652181685,12.344244360172793,10.601425780132889,10.16524923558437,14.941739646027523,13.892229703628942,14.21508846282959,12.963545,12.390155
2025-04-23,10.402820236980917,12.07010031343391,10.69767582451712,10.267211073031676,10.601425780132889,10.16524923558437,10.38402652181685,10.671003,10.178627
2025-04-24,10.86087880283594,12.794992383380444,11.053613476338878,10.365460250201131,10.69767582451712,10.267211073031676,10.402820236980917,10.948795,10.408007
2025-04-25,14.531334495544431,12.388279948128773,15.01419678844606,14.447766992763292,11.053613476338878,10.365460250201131,10.86087880283594,10.958979,10.452692
2025-04-28,10.820273319259286,12.309221099412152,10.9740982184748,10.611722359040268,15.01419678844606,14.447766992763292,14.531334495544431,12.892954,12.351106
2025-04-29,10.84169133938849,10.864382972276026,11.007950080763605,10.571444495881735,10.9740982184748,10.611722359040268,10.820273319259286,10.5561285,10.131743
2025-04-30,10.819210419431329,11.436046321988805,10.973145657783045,10.529869041844108,11.007950080763605,10.571444495881735,10.84169133938849,10.721205,10.269346
2025-05-01,8.770527809858322,11.640805884002882,9.00703519414176,8.624941044530617,10.973145657783045,10.529869041844108,10.819210419431329,10.762751,10.298942
2025-05-02,8.97749232252439,10.14390427958297,9.143109294411682,8.764784065465161,9.00703519414176,8.624941044530617,8.770527809858322,9.165187,8.799288
2025-05-05,8.96052454908689,9.754481268956484,9.163973412003417,8.784726973350569,9.143109294411682,8.764784065465161,8.97749232252439,9.137848,8.790291
2025-05-06,11.185704715549946,9.420675774682165,11.27319797140865,10.812781927147672,9.163973412003417,8.784726973350569,8.96052454908689,9.052574,8.71749
2025-05-07,11.014282412827017,9.611526966827336,11.302125228603307,10.85736283765424,11.27319797140865,10.812781927147672,11.185704715549946,10.330731,9.922046
2025-05-08,11.07407308369875,9.418285075226214,11.204258285977753,10.900137227912024,11.302125228603307,10.85736283765424,11.014282412827017,10.236961,9.820715
2025-05-09,10.697828836739063,9.886434243212465,11.216824992940566,10.46313882892504,11.204258285977753,10.900137227912024,11.07407308369875,10.406132,9.997675
2025-05-12,10.621510839089751,10.324423961446527,10.923538089717136,10.412249912396945,11.216824992940566,10.46313882892504,10.697828836739063,10.363691,9.945487
2025-05-13,10.453630855306985,10.547886907452437,10.702912134577192,10.305572948669852,10.923538089717136,10.412249912396945,10.621510839089751,10.367594,9.949151
2025-05-14,10.541202759370208,10.479967738545964,10.872091036607454,10.358833514700482,10.702912134577192,10.305572948669852,10.453630855306985,10.262202,9.848275
2025-05-15,10.651731779798864,10.436328023341144,10.88084927047887,10.432620278128002,10.872091036607454,10.358833514700482,10.541202759370208,10.300587,9.884348
2025-05-16,10.560656569898129,10.311985514498309,10.79290091690785,10.448700150418208,10.88084927047887,10.432620278128002,10.651731779798864,10.299036,9.886891
2025-05-19,10.426807869757925,10.255641910059222,10.611011093041247,10.27120372001222,10.79290091690785,10.448700150418208,10.560656569898129,10.2642355,9.852631
2025-05-20,10.311839943751693,10.207932772046265,10.49055500716859,10.189265326911276,10.611011093041247,10.27120372001222,10.426807869757925,10.150898,9.745572
2025-05-21,10.102783208712935,10.20413131941528,10.338900865653669,10.04037373909248,10.49055500716859,10.189265326911276,10.311839943751693,10.091062,9.689519
2025-05-22,10.09025395475328,10.104897754520673,10.330649880527492,9.862744396666676,10.338900865653669,10.04037373909248,10.102783208712935,9.964357,9.569646
2025-05-23,10.14075087569654,10.019602176285428,10.271410520100924,9.97327471512122,10.330649880527492,9.862744396666676,10.09025395475328,9.879853,9.489633
2025-05-26,9.43481320887804,9.91538913623666,9.517887167428862,9.287346684206623,10.271410520100924,9.97327471512122,10.14075087569654,9.880011,9.492514
2025-05-27,10.03493314050138,9.67503997076497,10.29062034925876,9.965021865950238,9.517887167428862,9.287346684206623,9.43481320887804,9.3947315,9.039478
2025-05-28,10.056223606690764,9.794807322063722,10.225905674453657,9.91013265541127,10.29062034925876,9.965021865950238,10.03493314050138,9.831915,9.445372
2025-05-29,10.079738652333615,9.663890388928284,10.21788734737606,9.981972739302556,10.225905674453657,9.91013265541127,10.056223606690764,9.768811,9.388255
2025-05-30,10.28882253728807,9.631925929433091,10.443233154170056,9.95626122267215,10.21788734737606,9.981972739302556,10.079738652333615,9.782909,9.402309
2025-06-02,7.726305690904458,9.704988271604975,8.25230085605205,7.634868187112029,10.443233154170056,9.95626122267215,10.28882253728807,9.856116,9.468462
2025-06-03,10.514200752601027,9.97427409451756,10.702090151352714,10.15969328567794,8.25230085605205,7.634868187112029,7.726305690904458,8.574228,8.227379
2025-06-04,11.07165713980794,10.462104930221445,11.147451982880956,10.484784996656678,10.702090151352714,10.15969328567794,10.514200752601027,10.218692,9.807812
2025-06-05,11.464270686730742,10.271556640361917,11.79239821874825,10.998702132733102,11.147451982880956,10.484784996656678,11.07165713980794,10.387285,9.980049
2025-06-06,11.485739355906844,10.358334504069088,11.789792749936176,11.231574404445578,11.79239821874825,10.998702132733102,11.464270686730742,10.706551,10.286241
2025-06-09,16.455637645721435,10.825700793078145,16.908233439183867,15.9162996927304,11.789792749936176,11.231574404445578,11.485739355906844,10.924248,10.491403
2025-06-10,11.888601176440716,12.720339815254388,12.240123939066155,11.65313149999022,16.908233439183867,15.9162996927304,16.455637645721435,13.1439,12.615865
2025-06-11,11.721991514787078,11.76555312370661,11.977529152179784,11.201042484211827,12.240123939066155,11.65313149999022,11.888601176440716,11.452282,10.992606
2025-06-12,12.219401260837913,12.53575039031224,12.41934142510609,11.473259561066214,11.977529152179784,11.201042484211827,11.721991514787078,11.493807,11.000481
2025-06-13,12.380422970280051,12.997959740524248,12.571090475308017,11.941914429363525,12.41934142510609,11.473259561066214,12.219401260837913,11.840915,11.331507
2025-06-16,13.070487849414349,12.68757361391497,13.265630282970228,12.431154176631702,12.571090475308017,11.941914429363525,12.380422970280051,11.930686,11.435796
2025-06-17,13.219406401738524,12.302786765712458,13.445221318863744,12.888563211561737,13.265630282970228,12.431154176631702,13.070487849414349,12.139511,11.652048
2025-06-18,13.331535240635276,12.536449454231786,13.790687105775234,13.109666116767656,13.445221318863744,12.888563211561737,13.219406401738524,12.397229,11.889176
2025-06-19,10.422767547269665,12.843113909298507,10.64660277976651,10.374008292186842,13.790687105775234,13.109666116767656,13.331535240635276,12.625722,12.09756
2025-06-20,13.15656672976911,12.202288951728752,13.489201616026762,12.993016069278148,10.64660277976651,10.374008292186842,10.422767547269665,10.788727,10.287025
2025-06-23,13.0268150921911,13.032206562199832,13.320497522265178,12.759980066187287,13.489201616026762,12.993016069278148,13.15656672976911,12.580427,12.064379
2025-06-24,12.96553630195558,12.54847704638052,13.29595302473786,12.745054473802805,13.320497522265178,12.759980066187287,13.0268150921911,12.318914,11.818552
2025-06-25,13.068895285949113,12.285269687924416,13.219132869613055,12.74874046296525,13.29595302473786,12.745054473802805,12.96553630195558,12.222701,11.726903
2025-06-26,13.199397509917617,12.51080006327123,13.422052830181505,12.975678180968934,13.219132869613055,12.74874046296525,13.068895285949113,12.293679,11.796811
2025-06-27,12.744675941765308,12.843824150064751,13.17050663683985,12.561790709804171,13.422052830181505,12.975678180968934,13.199397509917617,12.512737,11.999372
2025-06-30,12.978856956586242,12.74748678625029,13.253583468380024,12.57681152543933,13.17050663683985,12.561790709804171,12.744675941765308,12.26652,11.766679
2025-07-01,12.474231047289711,12.809930854760236,12.808978225714371,12.344026692415648,13.253583468380024,12.57681152543933,12.978856956586242,12.328989,11.82949
2025-07-02,12.783584212884309,12.507088029075357,12.947690807355972,12.56623647657405,12.808978225714371,12.344026692415648,12.474231047289711,12.043072,11.553342
2025-07-03,12.76524568349123,12.579015002523215,12.939423389947862,12.602477692010982,12.947690807355972,12.56623647657405,12.783584212884309,12.187372,11.694771
2025-07-04,10.606462391714254,12.478858729943733,10.7436313743467,10.505507981274253,12.939423389947862,12.602477692010982,12.76524568349123,12.162802,11.672918
2025-07-07,12.583115257322788,11.85373073037304,12.712855120969468,12.30692089889943,10.7436313743467,10.505507981274253,10.606462391714254,10.759419,10.279838
2025-07-08,12.703046672046185,12.320362331115907,12.956320921450184,12.437902242124004,12.712855120969468,12.30692089889943,12.583115257322788,11.970835,11.490056
2025-07-09,12.553681798279284,12.10812836169087,12.93637281082177,12.389382470926254,12.956320921450184,12.437902242124004,12.703046672046185,11.992122,11.513959
2025-07-10,15.050878040492536,11.96875765266308,15.490890503951876,14.355443742556584,12.93637281082177,12.389382470926254,12.553681798279284,11.913996,11.438521
2025-07-11,15.845147468149662,12.816682452803912,16.665905198014464,15.301887784637628,15.490890503951876,14.355443742556584,15.050878040492536,13.399797,12.794831
2025-07-14,16.361479379236698,13.507621478105673,16.837136302229894,15.823931434622391,16.665905198014464,15.301887784637628,15.845147468149662,14.029326,13.378745
2025-07-15,17.607193717733026,14.023557901924958,18.55681907800656,16.72916650057086,16.837136302229894,15.823931434622391,16.361479379236698,14.554743,13.854371
2025-07-16,17.86000607535243,15.153885128721182,18.41946967079835,17.445741517025276,18.55681907800656,16.72916650057086,17.607193717733026,15.615579,14.825291
2025-07-17,18.366613814607263,15.75818590285038,18.734177522804053,17.158877233136906,18.41946967079835,17.445741517025276,17.86000607535243,16.118742,15.287772
2025-07-18,19.27793345972896,16.298008419040166,19.597600071793394,18.07591433574845,18.734177522804053,17.158877233136906,18.366613814607263,16.311592,15.470927
2025-07-21,19.29513977281749,16.848394402157258,20.19191436747192,18.5305401329045,19.597600071793394,18.07591433574845,19.27793345972896,17.050047,16.147034
2025-07-22,19.410958778113127,17.31260780975194,19.802487399188458,18.708234538505828,20.19191436747192,18.5305401329045,19.29513977281749,17.483562,16.533178
2025-07-23,19.774887347593904,17.47268185576945,20.140623361899493,19.12940637896788,19.802487399188458,18.708234538505828,19.410958778113127,17.543964,16.598097
2025-07-24,20.38942410983145,17.801068915980235,20.71601662384252,19.36017037024714,20.140623361899493,19.12940637896788,19.774887347593904,17.89803,16.922863
2025-07-25,20.629033602774143,18.115230884196475,21.08819075808842,19.971683874405485,20.71601662384252,19.36017037024714,20.38942410983145,18.2435,17.239605
2025-07-28,21.390232227742672,18.30150671501965,21.53689967304646,20.32568072915952,21.08819075808842,19.971683874405485,20.629033602774143,18.581139,17.552383
2025-07-29,20.61299755424261,18.580091364683916,21.61464283892339,20.384126627902404,21.53689967304646,20.32568072915952,21.390232227742672,18.940619,17.886564
2025-07-30,20.37280746549368,18.90661730727368,20.98377072443372,19.87614801299352,21.61464283892339,20.384126627902404,20.61299755424261,19.00657,17.944666
2025-07-31,20.10122749768197,19.055488267563288,20.57035240443419,19.668707117104024,20.98377072443372,19.87614801299352,20.37280746549368,18.789654,17.750721
2025-08-01,20.07734683714807,19.01528260613866,20.55272401519692,19.2742209073424,20.57035240443419,19.668707117104024,20.10122749768197,18.620892,17.598492
2025-08-04,21.29903804191521,19.981500521964037,21.632110929151867,20.55765387318445,20.55272401519692,19.2742209073424,20.07734683714807,18.845339,17.82163
2025-08-05,21.2080861851573,19.854323903495946,21.368114829915363,20.569167155691183,21.632110929151867,20.55765387318445,21.29903804191521,19.497652,18.409332
2025-08-06,21.18395223468542,19.664340466143845,21.851593670225085,20.886166071526585,21.368114829915363,20.569167155691183,21.2080861851573,19.38217,18.304773
2025-08-07,22.06435050815344,19.866653640676976,22.496754979490984,20.942527913994063,21.851593670225085,20.886166071526585,21.18395223468542,19.620167,18.521555
2025-08-08,22.69031355530024,20.33611375036781,23.710048527205164,21.92313076803069,22.496754979490984,20.942527913994063,22.06435050815344,20.007711,18.876465
2025-08-11,22.454315254464746,20.82371846671827,23.958420676428265,22.151191641331764,23.710048527205164,21.92313076803069,22.69031355530024,20.734602,19.543676
2025-08-12,22.6135764811188,21.134070999651083,22.948316608464232,21.89066662078435,23.958420676428265,22.151191641331764,22.454315254464746,20.924015,19.72673
2025-08-13,22.65563994087279,21.261492565615967,23.258179397033228,22.030298060757136,22.948316608464232,21.89066662078435,22.6135764811188,20.767971,19.598177
2025-08-14,22.941063087433577,21.571465978360884,23.463014428622323,22.330367066562715,23.258179397033228,22.030298060757136,22.65563994087279,20.973236,19.79146
2025-08-15,23.08468713983893,21.698042629412004,23.54912269137108,22.4362135421747,23.463014428622323,22.330367066562715,22.941063087433577,21.174824,19.978828
2025-08-18,23.70361092314124,21.649379953020123,23.99059203650728,22.13853587015779,23.54912269137108,22.4362135421747,23.08468713983893,21.218914,20.017138
2025-08-19,23.142864730209112,21.74299333298076,24.36439164088554,22.614590689746684,23.99059203650728,22.13853587015779,23.70361092314124,21.301468,20.079374
2025-08-20,22.826505176723003,21.965948625041705,23.40964097661473,22.23154447027528,24.36439164088554,22.614590689746684,23.142864730209112,21.512024,20.283516
2025-08-21,22.858486272394657,21.92437379111672,23.56964296961081,22.158583966261126,23.40964097661473,22.23154447027528,22.826505176723003,21.206285,20.013895
2025-08-22,23.40148978680372,22.08458308782511,23.832240132674688,22.50586586006506,23.56964296961081,22.158583966261126,22.858486272394657,21.269567,20.072298
2025-08-25,24.88567192107439,22.1350376784153,25.14905948900381,23.6159729856123,23.832240132674688,22.50586586006506,23.40148978680372,21.497328,20.279581
2025-08-26,24.12709755450487,22.431147750902827,25.60408532547454,23.855560052198555,25.14905948900381,23.6159729856123,24.88567192107439,22.311737,21.019093
2025-08-27,24.86871618777513,22.530174175459653,25.303168116082148,23.79262459181627,25.60408532547454,23.855560052198555,24.12709755450487,22.3923,21.097322
2025-08-28,25.574298582971096,22.78432196678828,25.95026770480493,24.426346511536885,25.303168116082148,23.79262459181627,24.86871618777513,22.514761,21.214937
2025-08-29,25.53425095230341,23.30727141976852,26.3323461481848,24.774014186603488,25.95026770480493,24.426346511536885,25.574298582971096,23.077362,21.738768
2025-09-01,20.67464462518692,23.590696729930063,21.329798725380368,20.065391395224346,26.3323461481848,24.774014186603488,25.53425095230341,23.33619,21.983002
2025-09-02,24.26931796222925,21.85563367927013,25.152658657938968,23.949620286257108,21.329798725380368,20.065391395224346,20.67464462518692,19.941936,18.864197
2025-09-03,24.0201703235507,23.0257869052501,24.91960699633569,23.71044774017683,25.152658657938968,23.949620286257108,24.26931796222925,22.55617,21.268377
2025-09-04,23.038186125457287,22.37523593145334,24.32232251886196,22.57771199999518,24.91960699633569,23.71044774017683,24.0201703235507,22.181185,20.909178
2025-09-05,23.15066223591566,21.7785968731692,23.5643442363623,22.38231944300429,24.32232251886196,22.57771199999518,23.038186125457287,21.41326,20.188843
2025-09-08,22.98373680561781,21.70639251397561,23.389573131113032,22.62711245187792,23.5643442363623,22.38231944300429,23.15066223591566,21.233738,20.030724
2025-09-09,23.135188691318035,21.90379741036084,23.800780348275246,22.690451703000004,23.389573131113032,22.62711245187792,22.98373680561781,21.33522,20.136679
2025-09-10,22.88094243966043,21.695242131309275,23.62352333616473,22.530813550461467,23.800780348275246,22.690451703000004,23.135188691318035,21.354795,20.142359
2025-09-11,23.145719550549984,21.48163660024989,23.65904795788725,22.60613703865323,23.62352333616473,22.530813550461467,22.88094243966043,21.17162,19.970991
2025-09-12,23.585187232121825,21.436707260768923,23.82267987648982,22.919346345400022,23.65904795788725,22.60613703865323,23.145719550549984,21.2155,20.008694
2025-09-15,23.98050776682794,21.481557070259854,24.54562350982667,23.430071087661148,23.82267987648982,22.919346345400022,23.585187232121825,21.404129,20.181757
